Transaction ID,Date,Description,Amount,Currency,Supplier Name,Category,Subcategory
T0001,2025-01-15,"Procurement of Last-mile Delivery from Mendez, Brennan and Yu",41196.99,EUR,"Mendez, Brennan and Yu",Logistics,Last-mile Delivery
T0002,2025-02-03,"Procurement of strategize global portals from Randolph, Salas and Vasquez",22849.72,EUR,"Randolph, Salas and Vasquez",,
T0003,2025-01-03,Procurement of Event Sponsorship from Watson-Smith,29690.34,EUR,Watson-Smith,Marketing,Event Sponsorship
T0004,2025-03-23,Procurement of Production Equipment from Ramsey-Barnett,8570.45,EUR,Ramsey-Barnett,Manufacturing,Production Equipment
T0005,2025-02-06,Procurement of matrix global experiences from Haley Group,25107.8,EUR,Haley Group,,
T0006,2025-03-06,"Procurement of One-shot Software Purchase from Mcdonald, Frederick and West",9752.04,EUR,"Mcdonald, Frederick and West",IT,One-shot Software Purchase
T0007,2025-02-07,Procurement of Cold Chain Transport from Wolfe-Lopez,22701.59,EUR,Wolfe-Lopez,Logistics,Cold Chain Transport
T0008,2025-02-17,Procurement of embrace compelling interfaces from Rodriguez Group,49512.42,USD,Rodriguez Group,,
T0009,2025-03-02,Procurement of Recruitment Services from Patterson-Clayton,48336.67,GBP,Patterson-Clayton,HR & Training,Recruitment Services
T0010,2024-12-29,Procurement of Clinical Trials from Hunt-Bennett,43137.29,EUR,Hunt-Bennett,R&D,Clinical Trials
T0011,2025-03-03,"Procurement of Event Sponsorship from Jennings, Lawrence and Jackson",8003.92,GBP,"Jennings, Lawrence and Jackson",Marketing,Event Sponsorship
T0012,2025-02-21,Procurement of grow magnetic relationships from Perry-Jackson,10234.03,EUR,Perry-Jackson,,
T0013,2025-02-15,"Procurement of Clinical Trials from Olson, Stein and Baker",36058.03,USD,"Olson, Stein and Baker",R&D,Clinical Trials
T0014,2024-12-30,Procurement of facilitate visionary communities from Bailey-Sanchez,38464.68,EUR,Bailey-Sanchez,,
T0015,2025-01-04,"Procurement of syndicate dot-com technologies from Berry, Adkins and Davis",18909.07,EUR,"Berry, Adkins and Davis",,
T0016,2025-01-01,"Procurement of brand vertical vortals from Monroe, Bryant and Dennis",13654.3,EUR,"Monroe, Bryant and Dennis",,
T0017,2025-02-26,Procurement of Recruitment Services from Wall PLC,29347.57,EUR,Wall PLC,HR & Training,Recruitment Services
T0018,2025-03-18,Procurement of facilitate cross-platform users from Avila-Miller,16517.63,EUR,Avila-Miller,,
T0019,2025-03-06,"Procurement of Recruitment Services from Hoffman, Mcintyre and Mckenzie",44040.22,USD,"Hoffman, Mcintyre and Mckenzie",HR & Training,Recruitment Services
T0020,2025-03-07,Procurement of implement compelling content from Smith Inc,36013.18,USD,Smith Inc,,
T0021,2025-02-04,Procurement of deploy dynamic relationships from Smith and Sons,31328.68,EUR,Smith and Sons,,
T0022,2025-03-06,Procurement of Clinical Trials from Flores Ltd,9735.33,USD,Flores Ltd,R&D,Clinical Trials
T0023,2024-12-26,"Procurement of Recurrent SaaS License from Alvarado, Smith and Williams",26448.42,USD,"Alvarado, Smith and Williams",IT,Recurrent SaaS License
T0024,2025-02-23,"Procurement of Production Equipment from Ho, Nguyen and Williams",41100.0,USD,"Ho, Nguyen and Williams",Manufacturing,Production Equipment
T0025,2025-01-15,Procurement of Temporary Staff from Benton-Wang,13047.35,USD,Benton-Wang,HR & Training,Temporary Staff
T0026,2025-03-04,"Procurement of Last-mile Delivery from Berry, Adkins and Davis",37695.87,EUR,"Berry, Adkins and Davis",Logistics,Last-mile Delivery
T0027,2025-02-11,"Procurement of syndicate cutting-edge relationships from Bell, Shaffer and Zamora",10833.09,GBP,"Bell, Shaffer and Zamora",,
T0028,2025-03-02,Procurement of Professional IT Services from Matthews LLC,31534.6,GBP,Matthews LLC,IT,Professional IT Services
T0029,2025-02-25,Procurement of Lab Equipment from Graves-Thompson,25509.37,USD,Graves-Thompson,R&D,Lab Equipment
T0030,2025-02-27,Procurement of harness revolutionary infrastructures from Contreras-Lucas,46491.99,GBP,Contreras-Lucas,,
T0031,2025-03-01,Procurement of re-contextualize impactful infrastructures from Banks-Tate,13565.5,EUR,Banks-Tate,,
T0032,2025-01-09,Procurement of Facility Maintenance from Rodriguez Group,11912.67,USD,Rodriguez Group,Manufacturing,Facility Maintenance
T0033,2024-12-28,Procurement of Production Equipment from Benton-Wang,4388.06,USD,Benton-Wang,Manufacturing,Production Equipment
T0034,2025-01-09,Procurement of Research Services from Melton PLC,43494.71,EUR,Melton PLC,R&D,Research Services
T0035,2025-02-18,"Procurement of One-shot Software Purchase from Mcdonald, Frederick and West",39344.61,GBP,"Mcdonald, Frederick and West",IT,One-shot Software Purchase
T0036,2025-02-13,Procurement of One-shot Software Purchase from Benton-Wang,10278.55,USD,Benton-Wang,IT,One-shot Software Purchase
T0037,2025-02-11,Procurement of Recurrent SaaS License from Young-Anderson,45982.92,USD,Young-Anderson,IT,Recurrent SaaS License
T0038,2025-03-09,Procurement of matrix extensible mindshare from Phelps-Beck,45815.69,GBP,Phelps-Beck,,
T0039,2025-02-11,Procurement of Production Equipment from Webb-Tucker,44717.89,USD,Webb-Tucker,Manufacturing,Production Equipment
T0040,2025-02-18,Procurement of exploit front-end platforms from Hunt-Bennett,11213.07,USD,Hunt-Bennett,,
T0041,2025-02-21,Procurement of Raw Materials from Watson-Smith,46636.85,USD,Watson-Smith,Manufacturing,Raw Materials
T0042,2025-01-21,"Procurement of Digital Advertising from Howard, Charles and Oneill",8141.25,EUR,"Howard, Charles and Oneill",Marketing,Digital Advertising
T0043,2025-02-22,"Procurement of redefine intuitive e-services from Perez, Blackwell and Mckee",20934.9,EUR,"Perez, Blackwell and Mckee",,
T0044,2025-02-26,"Procurement of Lab Equipment from Lopez, Golden and Calhoun",43286.02,USD,"Lopez, Golden and Calhoun",R&D,Lab Equipment
T0045,2025-01-05,"Procurement of Digital Advertising from Sanchez, Wu and Smith",8170.03,GBP,"Sanchez, Wu and Smith",Marketing,Digital Advertising
T0046,2025-01-23,Procurement of Digital Advertising from Collins-Donovan,24087.77,EUR,Collins-Donovan,Marketing,Digital Advertising
T0047,2025-02-20,"Procurement of optimize granular web-readiness from Jennings, Lawrence and Jackson",35904.23,EUR,"Jennings, Lawrence and Jackson",,
T0048,2025-03-23,"Procurement of orchestrate dynamic vortals from Scott, West and Brown",22958.0,GBP,"Scott, West and Brown",,
T0049,2025-01-01,Procurement of Facility Maintenance from Orozco-Davis,11543.38,EUR,Orozco-Davis,Manufacturing,Facility Maintenance
T0050,2025-01-11,Procurement of matrix bricks-and-clicks content from Nolan LLC,29502.89,EUR,Nolan LLC,,
T0051,2025-03-01,"Procurement of Temporary Staff from Cain, Price and Lozano",19642.44,GBP,"Cain, Price and Lozano",HR & Training,Temporary Staff
T0052,2025-03-03,Procurement of benchmark virtual e-business from Newman LLC,42899.33,USD,Newman LLC,,
T0053,2025-02-14,Procurement of Production Equipment from Haley Group,48017.64,USD,Haley Group,Manufacturing,Production Equipment
T0054,2025-02-12,"Procurement of Temporary Staff from Mendez, Brennan and Yu",20732.09,USD,"Mendez, Brennan and Yu",HR & Training,Temporary Staff
T0055,2025-01-26,Procurement of orchestrate e-business systems from Mitchell Ltd,26796.76,GBP,Mitchell Ltd,,
T0056,2025-01-27,Procurement of Event Sponsorship from Cross Inc,25833.88,USD,Cross Inc,Marketing,Event Sponsorship
T0057,2025-03-17,Procurement of One-shot Software Purchase from Adams-Patel,2858.95,GBP,Adams-Patel,IT,One-shot Software Purchase
T0058,2025-03-22,Procurement of Print Media from Silva PLC,35378.2,GBP,Silva PLC,Marketing,Print Media
T0059,2025-02-22,"Procurement of Clinical Trials from Mcdonald, Frederick and West",27737.24,USD,"Mcdonald, Frederick and West",R&D,Clinical Trials
T0060,2025-01-26,Procurement of One-shot Software Purchase from Brooks LLC,47105.68,EUR,Brooks LLC,IT,One-shot Software Purchase
T0061,2025-03-06,"Procurement of Cold Chain Transport from Cook, Rivera and Cox",42041.34,GBP,"Cook, Rivera and Cox",Logistics,Cold Chain Transport
T0062,2025-01-28,Procurement of syndicate virtual info-mediaries from Hunt-Bennett,4479.43,GBP,Hunt-Bennett,,
T0063,2025-03-21,Procurement of Facility Maintenance from Davis-Smith,14331.91,GBP,Davis-Smith,Manufacturing,Facility Maintenance
T0064,2025-01-17,"Procurement of Facility Maintenance from Mendez, Brennan and Yu",14561.26,EUR,"Mendez, Brennan and Yu",Manufacturing,Facility Maintenance
T0065,2025-03-11,"Procurement of synergize customized eyeballs from Alvarado, Smith and Williams",37651.55,USD,"Alvarado, Smith and Williams",,
T0066,2025-03-18,Procurement of Last-mile Delivery from Wang LLC,19359.45,GBP,Wang LLC,Logistics,Last-mile Delivery
T0067,2025-02-23,Procurement of integrate bleeding-edge architectures from Benton-Wang,43006.31,GBP,Benton-Wang,,
T0068,2025-01-25,"Procurement of brand turn-key functionalities from Sanchez, Wu and Smith",18088.9,GBP,"Sanchez, Wu and Smith",,
T0069,2025-02-06,"Procurement of Cold Chain Transport from Bell, Shaffer and Zamora",17997.13,EUR,"Bell, Shaffer and Zamora",Logistics,Cold Chain Transport
T0070,2025-02-10,Procurement of envisioneer front-end e-services from Smith and Sons,28962.44,GBP,Smith and Sons,,
T0071,2025-02-18,"Procurement of iterate clicks-and-mortar infrastructures from Perez, Blackwell and Mckee",48759.32,EUR,"Perez, Blackwell and Mckee",,
T0072,2025-01-07,"Procurement of Cold Chain Transport from Phillips, Allen and Smith",1130.67,USD,"Phillips, Allen and Smith",Logistics,Cold Chain Transport
T0073,2025-02-09,"Procurement of Production Equipment from Olson, Stein and Baker",3026.52,USD,"Olson, Stein and Baker",Manufacturing,Production Equipment
T0074,2025-01-12,Procurement of Clinical Trials from Adams-Patel,43600.79,EUR,Adams-Patel,R&D,Clinical Trials
T0075,2025-02-07,"Procurement of Event Sponsorship from Adams, Young and Hodges",16832.84,USD,"Adams, Young and Hodges",Marketing,Event Sponsorship
T0076,2025-03-22,Procurement of revolutionize compelling content from Adams-Patel,18738.94,EUR,Adams-Patel,,
T0077,2025-02-07,Procurement of Temporary Staff from Hunt-Bennett,48626.36,GBP,Hunt-Bennett,HR & Training,Temporary Staff
T0078,2025-03-18,Procurement of Production Equipment from Williams PLC,14779.49,GBP,Williams PLC,Manufacturing,Production Equipment
T0079,2025-01-08,Procurement of disintermediate wireless content from Mathews and Sons,26979.66,EUR,Mathews and Sons,,
T0080,2025-01-10,Procurement of Clinical Trials from Russell-Kim,34616.55,GBP,Russell-Kim,R&D,Clinical Trials
T0081,2025-03-13,"Procurement of Facility Maintenance from Murillo, Jackson and Guerrero",36492.73,GBP,"Murillo, Jackson and Guerrero",Manufacturing,Facility Maintenance
T0082,2025-01-27,Procurement of disintermediate front-end e-markets from Wall PLC,17136.91,GBP,Wall PLC,,
T0083,2025-02-13,Procurement of Production Equipment from Sherman-Martin,35961.49,GBP,Sherman-Martin,Manufacturing,Production Equipment
T0084,2025-01-16,Procurement of Lab Equipment from Webb-Tucker,47514.66,USD,Webb-Tucker,R&D,Lab Equipment
T0085,2025-01-30,Procurement of Employee Training from Robinson-Gonzales,17952.52,EUR,Robinson-Gonzales,HR & Training,Employee Training
