Date;Supplier;Category;Amount Spent;Quantity Purchased;Country;Price Change (%)
20/03/2023;Supplier E;Consulting;48758,13;475;France;11,59
06/01/2024;Supplier B;Logistics;27113,55;399;UK;-5,89
21/01/2023;Supplier E;IT Equipment;12878,74;82;France;14,38
05/06/2024;Supplier A;Raw Materials;2398,34;903;Germany;-0,72
01/06/2024;Supplier E;Logistics;42507,94;230;Germany;1,47
20/12/2023;Supplier D;Consulting;15856,3;689;France;-6,4
07/08/2024;Supplier D;Consulting;11321,86;23;India;-3,77
01/09/2023;Supplier C;Raw Materials;2313,53;649;UK;9,41
15/05/2024;Supplier C;Office Supplies;9177,28;325;India;3,85
06/12/2023;Supplier A;IT Equipment;15400,2;596;UK;9,44
01/06/2023;Supplier B;Logistics;40414,53;820;UK;7,61
17/08/2024;Supplier C;IT Equipment;1754,79;174;France;5,56
28/10/2024;Supplier D;Logistics;45862,12;403;UK;-5,22
18/11/2023;Supplier E;Raw Materials;40631,59;646;China;-9,22
07/06/2024;Supplier C;Consulting;17047,13;969;Brazil;0,06
30/04/2024;Supplier B;Logistics;28533,68;724;Brazil;13,27
05/03/2024;Supplier E;Logistics;22315,28;864;UK;10,39
01/10/2024;Supplier E;IT Equipment;22380,71;558;China;-5,96
05/10/2024;Supplier E;Logistics;29969,2;637;China;6,78
27/09/2023;Supplier E;Logistics;41284,01;323;China;6,13
05/08/2023;Supplier A;IT Equipment;37864,56;76;France;12,57
05/03/2023;Supplier E;Logistics;12699,14;417;Brazil;-2,86
26/04/2024;Supplier D;Raw Materials;27410,55;649;Germany;-4,77
25/06/2024;Supplier A;Office Supplies;20653,49;922;Brazil;-8,92
24/09/2023;Supplier D;Consulting;49702,68;807;India;8,75
17/04/2023;Supplier D;IT Equipment;37276,64;874;Brazil;2,01
26/04/2024;Supplier C;Logistics;40996,16;266;China;-5,59
03/01/2024;Supplier C;Office Supplies;20711,68;39;UK;5,54
03/02/2024;Supplier D;Logistics;26143,03;425;France;-7,01
03/05/2024;Supplier D;Raw Materials;25723,08;770;Germany;-7,83
12/09/2023;Supplier E;Consulting;45784,43;294;India;13,47
04/10/2024;Supplier B;Raw Materials;37891,94;426;USA;1,85
18/12/2023;Supplier B;Consulting;1669,44;439;USA;-3,58
28/08/2023;Supplier B;Raw Materials;4773,45;422;UK;-3,36
04/07/2023;Supplier C;Raw Materials;39632,6;803;USA;-0,77
07/04/2023;Supplier A;Logistics;28218,81;640;Germany;10,2
13/09/2024;Supplier D;Consulting;6400,15;409;USA;14,05
11/07/2024;Supplier E;Raw Materials;38678,36;414;Germany;11,03
18/02/2024;Supplier A;Logistics;12940,5;397;India;-1,72
21/01/2023;Supplier D;Office Supplies;35108,07;231;Brazil;4,86
15/11/2023;Supplier C;Consulting;4868,04;987;Brazil;14,16
13/09/2024;Supplier E;Logistics;20580;108;India;-2,03
21/01/2023;Supplier B;Office Supplies;23356,42;791;India;7,06
17/01/2023;Supplier C;Consulting;2389,39;302;Germany;-1,78
