Supplier_Name;Category;Spend_Amount;Payment_Term_Days;Contracted_Delivery_Time;Actual_Delivery_Time
Supplier_7;Consulting;492278,06;30;27;30
Supplier_18;Marketing;165526,26;90;44;49
Supplier_4;Logistics;119836,66;60;25;32
Supplier_2;Logistics;351820,89;60;59;53
Supplier_3;Consulting;86495,75;45;19;32
Supplier_3;Logistics;362594,97;30;40;53
Supplier_5;Production;109740,06;90;59;49
Supplier_14;Marketing;363248,16;30;44;52
Supplier_7;Consulting;315678,74;30;59;74
Supplier_4;Marketing;309789,18;60;34;46
Supplier_13;Logistics;460360,59;90;13;22
Supplier_11;Production;379819,03;45;25;24
Supplier_18;Consulting;75732,89;30;41;50
Supplier_9;Consulting;82461,71;90;58;64
Supplier_9;IT;176564,54;30;58;53
Supplier_14;Consulting;72796,58;30;56;46
Supplier_5;IT;186942,81;90;36;38
Supplier_10;Marketing;75550,29;90;34;30
Supplier_3;Production;454637,43;90;23;31
Supplier_7;Consulting;146055,08;30;56;67
Supplier_12;Consulting;60817,72;45;38;36
Supplier_12;IT;342977,19;45;22;13
Supplier_19;Production;89063,03;30;59;58
Supplier_17;Marketing;161527,47;30;39;33
Supplier_11;Consulting;294147,45;45;40;45
Supplier_6;Logistics;175903,58;45;53;49
Supplier_18;Logistics;300395,96;60;54;48
Supplier_6;Consulting;226916,79;60;54;61
Supplier_6;Marketing;124245,15;90;10;5
Supplier_12;Consulting;160485,61;30;24;31
Supplier_18;Marketing;6078;45;47;58
Supplier_4;Logistics;308470,07;60;46;48
Supplier_10;Consulting;61148,59;30;52;53
Supplier_18;Marketing;368200,03;45;11;19
Supplier_1;Consulting;94257,69;45;13;10
Supplier_8;Logistics;358766,52;60;59;66
Supplier_1;IT;394572,1;60;55;66
Supplier_4;Production;141844,31;30;38;39
Supplier_5;Marketing;287970,47;90;57;69
Supplier_13;Marketing;47943,7;30;50;55
Supplier_20;Logistics;87484,31;45;50;41
Supplier_7;Production;7373,21;60;25;27
Supplier_16;IT;253279,46;45;12;16
Supplier_15;Logistics;414124,24;60;24;26
Supplier_17;IT;191099,67;60;23;14
Supplier_9;Marketing;240306,51;90;44;45
Supplier_15;Production;319066,59;30;60;59
Supplier_20;Logistics;450028,07;45;51;53
Supplier_5;Marketing;281009,38;30;42;52
Supplier_13;Production;292647,7;60;26;35
Supplier_9;Logistics;28762,42;30;54;58
Supplier_2;Marketing;103234,52;30;36;31
Supplier_7;IT;70494,78;30;54;44
Supplier_18;IT;463631,69;60;38;34
